Element,Peak,DiffPeak,LowerEnergy,UpperEnergy,BackgroundE1,BackgroundE2,EVPerStep,Sweeps,Comment,Comment,Comment,Comment
Nd2,0,730,715,735,0,0,1,30,0.039,0.047,0.032,-
Nd3,0,854,839,859,0,0,1,0,0,0,0,-
Sm1,0,100,85,105,0,0,0.5,6,0.222,0,0,-
Sm2,0,814,799,819,0,0,1,30,0.028,0.033,0.026,-
Eu1,0,109,94,114,0,0,0.5,6,0.225,0,0,-
Eu2,0,139,124,144,0,0,0.5,6,0.231,0,0,-
Eu3,0,858,843,863,0,0,1,30,0.026,0.029,0.025,-
Gd1,105,108,85,115,112,87,0.5,12,0.123,0,0,-
Gd2,135,138,120,145,143,125,0.5,6,0.218,0,0,-
Gd3,867,895,795,895,890,800,1,30,0.024,0.027,0.024,-
Tb1,0,146,131,151,0,0,0.5,30,0.104,0.026,0.025,-
Tb2,0,933,1058,1078,0,0,1,30,0.023,0.026,0.025,-
Dy1,0,151,136,156,0,0,0.5,12,0.102,0,0,-
Dy2,0,1126,1111,1131,0,0,1,30,0.023,0.027,0.027,-
Ho1,0,157,142,162,0,0,0.5,15,0.093,0,0,-
Ho2,0,1175,1160,1180,0,0,1,30,0.024,0.03,0.03,-
Er1,0,154,148,168,0,0,0.5,6,0.267,0.218,0,-
Er2,0,1393,1378,1398,0,0,1,30,0.026,0.036,0.035,-
Tm1,0,166,151,171,0,0,0.5,16,0.078,0,0,-
Tm2,0,1449,1434,1454,0,0,1,30,0.028,0.042,0.04,-
Yb1,0,170,155,175,0,0,0.5,16,0.096,0,0,-
Yb2,0,1514,1499,1519,0,0,1,25,0.031,0.051,0.048,-
Lu1,0,171,162,182,0,0,0.5,18,0.076,0,0,-
Lu2,0,1573,1558,1578,0,0,1,25,0.038,0.062,0.058,-
Hf1,166,167,135,200,194,138,0.5,10,0.241,0.141,0,-
Hf2,1614,1624,1510,1665,1664,1514,1,20,0.046,0.073,0.07,-
Ta1,165,166,150,180,177,155,0.5,12,0.115,0.136,0,-
Ta2,1674,1680,1550,1710,1705,1552,1,18,0.055,0.082,0.085,-
W1,164,169,130,205,200,134,0.5,12,0.113,0.115,0,-
W2,1729,1736,1685,1760,1756,1689,1,16,0.049,0.08,0.083,-
Re1,173,176,161,181,0,0,0.5,16,0.081,0.096,0,-
Re2,1782,1799,1784,1804,0,0,1,20,0.04,0.07,0.075,-
Ir1,48,54,39,59,0,0,0.5,10,0.249,0.046,0,-
Ir2,168,171,156,176,0,0,0.5,10,0.284,0.067,0,-
Ir3,1899,1908,1893,1913,0,0,1,30,0.027,0.05,0.063,-
Pt1,59,69,49,69,0,0,0.5,5,0.33,0.28,0,-
Pt2,166,168,153,173,0,0,0.5,30,0.035,0.037,0,-
Pt3,1960,1967,1895,1995,1990,1900,1,30,0.023,0.042,0.057,-
Au1,68,69,54,74,0,0,0.5,4,0.44,0.34,0.21,-
Au2,238,239,205,255,250,207,0.5,30,0.037,0.038,0,-
Au3,2015,2024,1965,2055,2051,1970,1,30,0.019,0.036,0.053,-
Hg1,0,76,61,81,0,0,0.5,30,0,0.03,0,-
Hg2,0,243,226,246,0,0,0.5,30,0,0.018,0,-
Hg3,0,2079,2063,2083,0,0,1,30,0.014,0.03,0.047,-
Tl1,0,84,69,89,0,0,0.5,4,0.45,0.42,0,-
Tl2,0,244,229,249,0,0,0.5,30,0.036,0.028,0,-
Tl3,0,2131,2119,2139,0,0,1,30,0.012,0.026,0.043,-
Pb1,88,94,65,105,100,68,0.5,4,0.38,0.4,0,-
Pb2,245,249,220,265,260,225,0.5,30,0.022,0.033,0,-
Pb3,0,2187,2171,2191,0,0,1,30,0.01,0.021,0.04,-
Bi1,96,101,65,115,113,68,0.5,4,0.33,0.37,0,-
Bi2,242,249,220,265,260,222,0.5,30,0.022,0.031,0,-
Bi3,2226,2249,2175,2280,2276,2176,1,30,0,0.018,0.036,-
Th1,53,0,40,65,60,43,0.5,5,0,0.286,0,-
Th2,235,0,225,250,246,228,0.5,20,0,0.077,0,-
U1,72,0,50,85,82,56,0.5,3,0.437,0,0,-
U2,279,0,265,305,300,268,0.5,10,0.142,0,0,-
Survey,1030,1030,30,1030,30,1030,1,1,0,0,0,-
